id,list_time,type_real_estate,ward,area,region,address,property_status,price_m2,direction,balconydirection,property_legal_document,size,floornumber,apartment_type,furnishing_sell,apartment_feature,rooms,toilets,floors,house_type,living_size,width,length,land_type,property_road_condition,land_feature,property_back_condition,price
88856159,1634792888000,Căn hộ/Chung cư,Phường Tây Thạnh,Quận Tân Phú,Tp Hồ Chí Minh,"Đường C8, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",Đã bàn giao,"24,23 triệu/m²",Đông,Tây,Đã có sổ,78 m²,4,Chung cư,,Căn góc,2 phòng,1 phòng,,,,,,,,,,1890000000
88856113,1634792797000,Căn hộ/Chung cư,Phường 1,Quận Gò Vấp,Tp Hồ Chí Minh,"Số 18, Số 18 Đường Nguyên Hồng, Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",Chưa bàn giao,"41,45 triệu/m²",,,Đang chờ sổ,76 m²,,Chung cư,Hoàn thiện cơ bản,Căn góc,2 phòng,2 phòng,,,,,,,,,,3150000000
88856082,1634792725000,Căn hộ/Chung cư,Phường 10,Quận 6,Tp Hồ Chí Minh,"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Tp Hồ Chí Minh",Chưa bàn giao,25 triệu/m²,,,,53 m²,,Chung cư,,,1 phòng,1 phòng,,,,,,,,,,1325000000
87912332,1634792591274,Căn hộ/Chung cư,Phường Thạnh Xuân,Quận 12,Tp Hồ Chí Minh,"9A Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",Chưa bàn giao,"43,86 triệu/m²",Bắc,Nam,Giấy tờ khác,57 m²,,Chung cư,Hoàn thiện cơ bản,,2 phòng,1 phòng,,,,,,,,,,2500000000
78881173,1634792548877,Căn hộ/Chung cư,Phường Tân Hưng,Quận 7,Tp Hồ Chí Minh,"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",Đã bàn giao,"49,09 triệu/m²",,,Đã có sổ,55 m²,,Chung cư,Nội thất cao cấp,,1 phòng,1 phòng,,,,,,,,,,2700000000
88855870,1634792298000,Căn hộ/Chung cư,Phường 10,Quận 6,Tp Hồ Chí Minh,"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Tp Hồ Chí Minh",Chưa bàn giao,"24,9 triệu/m²",Tây,Đông,,49 m²,,Chung cư,,,1 phòng,1 phòng,,,,,,,,,,1220000000
88855814,1634792218000,Căn hộ/Chung cư,Phường Phú Thuận,Quận 7,Tp Hồ Chí Minh,"Đường 4, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",Đã bàn giao,"34,55 triệu/m²",,,Đã có sổ,55 m²,,Chung cư,Nội thất đầy đủ,,1 phòng,1 phòng,,,,,,,,,,1900000000
88855797,1634792197000,Căn hộ/Chung cư,Phường Linh Đông,Quận Thủ Đức,Tp Hồ Chí Minh,"chung cư 4s Linh Đông, Đường 30, Phường Linh Đông, Quận Thủ Đức, Tp Hồ Chí Minh",Đã bàn giao,"30,41 triệu/m²",Bắc,Nam,Đang chờ sổ,73 m²,4,Chung cư,Nội thất đầy đủ,,2 phòng,2 phòng,,,,,,,,,,2220000000
88822497,1634792078641,Căn hộ/Chung cư,Phường 6,Quận 8,Tp Hồ Chí Minh,"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",Đã bàn giao,"45,14 triệu/m²",,,Giấy tờ khác,35 m²,,Officetel,,,1 phòng,1 phòng,,,,,,,,,,1580000000
88557375,1634792072488,Căn hộ/Chung cư,Phường Tân Kiểng,Quận 7,Tp Hồ Chí Minh,"Đường Bế Văn Cấm, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh",Đã bàn giao,"46,03 triệu/m²",,Đông,,63 m²,,Chung cư,,,2 phòng,2 phòng,,,,,,,,,,2900000000
