id,list_time,type_real_estate,ward,area,region,address,property_status,price_m2,direction,balconydirection,property_legal_document,size,floornumber,apartment_type,furnishing_sell,apartment_feature,rooms,toilets,floors,house_type,living_size,width,length,land_type,property_road_condition,land_feature,property_back_condition,price
88521242,1633777036000.0,Nhà ở,Phường Tân An,Thành phố Thủ Dầu Một,Bình Dương,"53, Dx 126, Phường Tân An, Thành phố Thủ Dầu Một, Bình Dương",,"21,09 triệu/m²",Nam,,Đã có sổ,128 m²,,,,,3 phòng,2 phòng,,Nhà mặt phố,60 m²,5 m,25 m,,Hẻm xe hơi,,,2700000000.0
88521177,1633776788000.0,Nhà ở,Phường Hiệp An,Thành phố Thủ Dầu Một,Bình Dương,"43, Dx 91, Phường Hiệp An, Thành phố Thủ Dầu Một, Bình Dương",,"31,03 triệu/m²",Tây Nam,,Đã có sổ,87 m²,,,,,3 phòng,2 phòng,,Nhà ngõ,60 m²,405 m,19 m,,Hẻm xe hơi,,Nở hậu,2700000000.0
88521172,1633776776000.0,Nhà ở,Phường Phú Mỹ,Thành phố Thủ Dầu Một,Bình Dương,"DX043, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Bình Dương",,"39,06 triệu/m²",Đông Bắc,,Đã có sổ,96.6 m²,,,Hoàn thiện cơ bản,,3 phòng,3 phòng,1,Nhà mặt phố,100 m²,4.6 m,21 m,,,,,3750000000.0
88520910,1633776008000.0,Nhà ở,Phường Phú Hòa,Thành phố Thủ Dầu Một,Bình Dương,"Đường Nguyễn Thị Minh Khai, Phường Phú Hòa, Thành phố Thủ Dầu Một, Bình Dương",,26 triệu/m²,Nam,,Đã có sổ,100 m²,,,Hoàn thiện cơ bản,,2 phòng,3 phòng,,Nhà ngõ,100 m²,5 m,20 m,,Hẻm xe hơi,,,2600000000.0
87007743,1633773756934.0,Nhà ở,Phường Tương Bình Hiệp,Thành phố Thủ Dầu Một,Bình Dương,"1/ Nguyễn Chí Thanh, Phường Tương Bình Hiệp, Thành phố Thủ Dầu Một, Bình Dương",,"16,15 triệu/m²",,,Đã có sổ,192.6 m²,,,Hoàn thiện cơ bản,,2 phòng,1 phòng,,Nhà mặt phố,192.6 m²,9 m,24 m,,,,Nở hậu,3100000000.0
88519780,1633773513000.0,Nhà ở,Phường Tân Bình,Thị xã Dĩ An,Bình Dương,"258999999, Đường Tân Hiệp, Phường Tân Bình, Thị xã Dĩ An, Bình Dương",,"36,72 triệu/m²",,,Đã có sổ,64 m²,,,,,2 phòng,2 phòng,,Nhà mặt phố,128 m²,4 m,16 m,,Hẻm xe hơi,,,2350000000.0
88381911,1633772878136.0,Nhà ở,Phường Tân Bình,Thị xã Dĩ An,Bình Dương,"Đường Liên Huyện, Phường Tân Bình, Thị xã Dĩ An, Bình Dương",,"41,4 triệu/m²",Đông Nam,,Đã có sổ,70 m²,,,Hoàn thiện cơ bản,,4 phòng,4 phòng,,Nhà phố liền kề,180 m²,4 m,17 m,,,,,2898000000.0
88519356,1633772704000.0,Nhà ở,Phường Bình Nhâm,Thành phố Thuận An,Bình Dương,"BÌNH NHÂM 30, Phường Bình Nhâm, Thành phố Thuận An, Bình Dương",,"11,01 triệu/m²",Tây Bắc,,Đã có sổ,1726 m²,,,,,3 phòng,3 phòng,,Nhà biệt thự,1726 m²,25 m,60 m,,,,Nở hậu,19000000000.0
88518681,1633771227000.0,Nhà ở,Phường Dĩ An,Thị xã Dĩ An,Bình Dương,"Đường Nguyễn An Ninh, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",,"47,78 triệu/m²",Nam,,,45 m²,,,,,3 phòng,2 phòng,,Nhà ngõ,90 m²,4 m,11 m,,,,,2150000000.0
88468542,1633771036124.0,Nhà ở,Phường Phú Lợi,Thành phố Thủ Dầu Một,Bình Dương,"Đường Huỳnh Văn Lũy, Phường Phú Lợi, Thành phố Thủ Dầu Một, Bình Dương",,"48,75 triệu/m²",Đông Nam,,Đã có sổ,120 m²,,,Nội thất cao cấp,,4 phòng,3 phòng,2,Nhà mặt phố,240 m²,10 m,12 m,,Hẻm xe hơi,,,5850000000.0
