city,date,direction,district,floors,front_road,id,length,price,property_legal_document,rooms,size,type_adv,type_real_estate,ward,width
Hồ Chí Minh,Ngày đăng: 31/10/2021,Bắc,Quận Bình Thạnh,1,"4,5m",5817727,"6,43m"," 3,2 tỷ ",Sổ hồng/ Sổ đỏ,2, 39 m,Cần bán,Nhà trong hẻm,Phường 12,"3,6m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông,Quận Bình Thạnh,2,"4,1m",9242113,"3,85m", 3 tỷ ,Sổ hồng/ Sổ đỏ,2, 14 m,Cần bán,Nhà trong hẻm,Phường 11,"3,59m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông Nam,Thành phố Thủ Đức,1,"6,7m",8142862,"12,1m"," 5,3 tỷ ",Sổ hồng/ Sổ đỏ,1, 88 m,Cần bán,"Đất thổ cư, đất ở",Phường Linh Đông,"7,37m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 7,---,15m,8625595,---, 532 tỷ ,Sổ hồng/ Sổ đỏ,---, 7.600 m,Cần bán,"Đất thổ cư, đất ở",Phường Tân Hưng,40m
Hồ Chí Minh,Ngày đăng: 30/10/2021,_,Quận Tân Bình,7,10m,9281686,23m, 58 tỷ ,---,26, 235 m,Cần bán,Nhà mặt tiền,Phường 2,"10,45m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Tây Nam,Quận 9,25,---,9132037,---, 2 tỷ ,Sổ hồng/ Sổ đỏ,2, 59 m,Cần bán,Căn hộ chung cư,Phường Long Thạnh Mỹ,---
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Gò Vấp,3,5m,7947642,20m," 5,5 tỷ ",Sổ hồng/ Sổ đỏ,6, 78 m,Cần bán,Nhà trong hẻm,Phường 8,"3,8m"
Hồ Chí Minh,Ngày đăng: 30/10/2021,_,Quận Phú Nhuận,4,6m,5874947,"18,5m"," 10,5 tỷ ",Sổ hồng/ Sổ đỏ,5, 75 m,Cần bán,Nhà trong hẻm,Phường 14,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 3,8,20m,9269258,10m," 1,2 tỷ ",Sổ hồng/ Sổ đỏ,2, 50 m,Cần bán,Căn hộ chung cư,Phường 12,5m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 3,2,"3,5m",7509894,---," 4,8 tỷ ",Sổ hồng/ Sổ đỏ,2, 34 m,Cần bán,Nhà trong hẻm,Phường 14,8m
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông Bắc,Quận 8,1,"3,5m",7217807,"5,15m"," 2,85 tỷ ",Sổ hồng/ Sổ đỏ,2, 31 m,Cần bán,Nhà trong hẻm,Phường 4,"3,24m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Gò Vấp,3,5m,7812748,17m," 7,8 tỷ ",Sổ hồng/ Sổ đỏ,5, 68 m,Cần bán,Nhà trong hẻm,Phường 11,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,Nam,Quận 10,1,5m,7007639,"14,82m"," 10,4 tỷ ",Sổ hồng/ Sổ đỏ,3, 83 m,Cần bán,Nhà trong hẻm,Phường 9,"3,88m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Tân Bình,6,8m,8476721,15m," 22,6 tỷ ",---,11, 80 m,Cần bán,Nhà mặt tiền,Phường 2,"5,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Tân Bình,---,10m,8876389,15m, 6 tỷ ,Giấy tờ hợp lệ,2, 51 m,Cần bán,Nhà trong hẻm,Phường 11,"3,9m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Tân Bình,2,3m,8900014,5m," 6,75 tỷ ",Giấy tờ hợp lệ,3, 42 m,Cần bán,Nhà trong hẻm,Phường 7,9m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Tân Phú,2,6m,8725770,16m," 4,3 tỷ ",Giấy tờ hợp lệ,2, 47 m,Cần bán,Nhà trong hẻm,Phường Phú Thọ Hòa,3m
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông,Quận 8,2,3m,6170979,"5,65m"," 2,9 tỷ ",Sổ hồng/ Sổ đỏ,3, 42 m,Cần bán,Nhà trong hẻm,Phường 3,"4,63m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Tân Bình,2,"2,5m",8902569,15m," 6,5 tỷ ",Giấy tờ hợp lệ,3, 77 m,Cần bán,Nhà trong hẻm,Phường 3,"4,8m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,3,4m,8914423,9m," 5,9 tỷ ",Sổ hồng/ Sổ đỏ,2, 32 m,Cần bán,Nhà trong hẻm,Phường 9,"3,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Nam,Quận 9,14,---,9240848,---," 1,75 tỷ ",Sổ hồng/ Sổ đỏ,2, 47 m,Cần bán,Căn hộ chung cư,Phường Long Thạnh Mỹ,---
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông Nam,Quận Tân Bình,4,6m,6752530,"18,85m", 17 tỷ ,Sổ hồng/ Sổ đỏ,6, 273 m,Cần bán,Nhà trong hẻm,Phường 4,"6,3m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Gò Vấp,4,10m,7973751,23m, 39 tỷ ,Sổ hồng/ Sổ đỏ,8, 366 m,Cần bán,Nhà mặt tiền,Phường 9,16m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Tân Phú,3,3m,8895823,25m," 7,6 tỷ ",Giấy tờ hợp lệ,4, 100 m,Cần bán,Nhà trong hẻm,Phường Tây Thạnh,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,Nam,Quận Tân Phú,1,"2,1m",5999125,"7,5m", 3 tỷ ,Sổ hồng/ Sổ đỏ,1, 36 m,Cần bán,Nhà trong hẻm,Phường Phú Thọ Hòa,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,Tây,Quận 7,2,"2,5m",5840613,"8,56m"," 4,8 tỷ ",Sổ hồng/ Sổ đỏ,4, 117 m,Cần bán,Nhà trong hẻm,Phường Tân Thuận Đông,"6,34m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Tây,Quận Bình Thạnh,3,3m,9241101,9m," 2,5 tỷ ",Sổ hồng/ Sổ đỏ,2, 20 m,Cần bán,Nhà trong hẻm,Phường 15,"2,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Bắc,Quận Tân Bình,2,2m,5918490,"9,1m"," 4,49 tỷ ",Sổ hồng/ Sổ đỏ,2, 73 m,Cần bán,Nhà trong hẻm,Phường 12,"3,2m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông Nam,Quận 4,1,2m,5887994,"8,15m"," 2,71 tỷ ",Sổ hồng/ Sổ đỏ,2, 37 m,Cần bán,Nhà trong hẻm,Phường 10,"3,2m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông Bắc,Quận 8,3,6m,6029444,"16,8m"," 8,4 tỷ ",Sổ hồng/ Sổ đỏ,4, 141 m,Cần bán,Nhà trong hẻm,Phường 13,"3,72m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông Bắc,Quận Bình Thạnh,1,"2,5m",5809092,"9,6m"," 4,5 tỷ ",Sổ hồng/ Sổ đỏ,1, 70 m,Cần bán,Nhà trong hẻm,Phường 11,"3,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Bắc,Quận Gò Vấp,3,"3,7m",6319407,"9,87m"," 5,4 tỷ ",Sổ hồng/ Sổ đỏ,4, 144 m,Cần bán,Nhà trong hẻm,Phường 11,"5,4m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Tây,Quận 6,1,2m,8078491,"10,44m"," 3,75 tỷ ",Sổ hồng/ Sổ đỏ,2, 60 m,Cần bán,Nhà trong hẻm,Phường 5,"3,69m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông Nam,Quận 11,2,"2,5m",9242163,"7,6m"," 3,7 tỷ ",Sổ hồng/ Sổ đỏ,2, 26 m,Cần bán,Nhà trong hẻm,Phường 5,"3,9m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông Nam,Quận Tân Phú,2,"3,7m",9242154,"5,36m"," 2,6 tỷ ",Sổ hồng/ Sổ đỏ,2, 15 m,Cần bán,Nhà trong hẻm,Phường Tân Thới Hòa,"3,3m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Tây Bắc,Quận 1,2,3m,6029409,"6,75m"," 9,5 tỷ ",Sổ hồng/ Sổ đỏ,4, 134 m,Cần bán,Nhà trong hẻm,Phường Nguyễn Thái Bình,"5,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông,Quận 7,2,3m,9284690,8m," 2,65 tỷ ",Sổ hồng/ Sổ đỏ,2, 32 m,Cần bán,Nhà trong hẻm,Phường Phú Thuận,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 7,---,6m,9284838,12m," 4,45 tỷ ",Sổ hồng/ Sổ đỏ,---, 52 m,Cần bán,"Đất thổ cư, đất ở",Phường Phú Mỹ,"4,3m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Thành phố Thủ Đức,3,7m,8520433,14m," 7,3 tỷ ",Sổ hồng/ Sổ đỏ,4, 56 m,Cần bán,Nhà trong hẻm,Phường Hiệp Bình Phước,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,3,4m,7040869,10m," 5,5 tỷ ",Sổ hồng/ Sổ đỏ,3, 47 m,Cần bán,Nhà trong hẻm,Phường 15,"4,4m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,3,4m,7095335,---," 4,6 tỷ ",Sổ hồng/ Sổ đỏ,3, 36 m,Cần bán,Nhà trong hẻm,Phường 13,"4,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Gò Vấp,3,4m,8646714,12m," 4,15 tỷ ",Sổ hồng/ Sổ đỏ,2, 39 m,Cần bán,Nhà trong hẻm,Phường 8,"3,3m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,3,5m,7026036,"5,8m"," 4,3 tỷ ",Sổ hồng/ Sổ đỏ,3, 25 m,Cần bán,Nhà trong hẻm,Phường 12,"4,6m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Tây,Quận 7,3,---,9038703,---," 3,5 tỷ ",Giấy tờ hợp lệ,3, 122 m,Cần bán,Căn hộ chung cư,Phường Phú Mỹ,---
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,3,4m,7286808,"5,5m"," 2,75 tỷ ",Sổ hồng/ Sổ đỏ,3, 14 m,Cần bán,Nhà trong hẻm,Phường 10,"2,6m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Tây Nam,Quận 10,1,5m,6013787,"12,73m"," 11,5 tỷ ",Sổ hồng/ Sổ đỏ,3, 116 m,Cần bán,Nhà trong hẻm,Phường 15,"5,03m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 8,1,6m,8242939,---," 9,3 tỷ ",Sổ hồng/ Sổ đỏ,3, 125 m,Cần bán,Nhà trong hẻm,Phường 9,5m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,3,4m,8200845,---," 3,65 tỷ ",Sổ hồng/ Sổ đỏ,3, 20 m,Cần bán,Nhà trong hẻm,Phường 12,"3,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,4,3m,7354133,---," 2,5 tỷ ",Sổ hồng/ Sổ đỏ,2, 22 m,Cần bán,Nhà trong hẻm,Phường 15,---
Hồ Chí Minh,Ngày đăng: 31/10/2021,Tây Nam,Quận Bình Thạnh,1,3m,5814445,"5,62m"," 2,75 tỷ ",Sổ hồng/ Sổ đỏ,1, 17 m,Cần bán,Nhà trong hẻm,Phường 5,"3,33m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,3,3m,9054194,13m," 5,8 tỷ ",Sổ hồng/ Sổ đỏ,4, 48 m,Cần bán,Nhà trong hẻm,Phường 5,"3,7m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Nam,Quận Bình Thạnh,1,"2,5m",6487699,"13,04m"," 5,1 tỷ ",Sổ hồng/ Sổ đỏ,2, 101 m,Cần bán,Nhà trong hẻm,Phường 11,"3,99m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 3,2,3m,8894519,17m," 7,9 tỷ ",Sổ hồng/ Sổ đỏ,3, 68 m,Cần bán,Nhà trong hẻm,Phường 10,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 3,2,3m,8733227,"12,5m"," 6,85 tỷ ",Sổ hồng/ Sổ đỏ,2, 50 m,Cần bán,Nhà trong hẻm,Phường 14,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 3,4,4m,9054059,"15,8m"," 9,8 tỷ ",Sổ hồng/ Sổ đỏ,5, 68 m,Cần bán,Nhà trong hẻm,Phường 7,"4,3m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,4,5m,8558044,"12,5m", 13 tỷ ,Sổ hồng/ Sổ đỏ,4, 56 m,Cần bán,Nhà trong hẻm,Phường 13,"4,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 3,6,5m,8574516,10m, 12 tỷ ,Sổ hồng/ Sổ đỏ,8, 50 m,Cần bán,Nhà trong hẻm,Phường 3,5m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,3,3m,9024064,"14,5m"," 7,5 tỷ ",Sổ hồng/ Sổ đỏ,4, 64 m,Cần bán,Nhà trong hẻm,Phường 12,"4,4m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 3,3,3m,9024478,"14,4m"," 7,8 tỷ ",Sổ hồng/ Sổ đỏ,4, 66 m,Cần bán,Nhà trong hẻm,Phường 3,"4,6m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,3,3m,8709863,9m," 4,5 tỷ ",Sổ hồng/ Sổ đỏ,2, 32 m,Cần bán,Nhà trong hẻm,Phường 13,"3,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 3,3,4m,8713755,10m," 4,55 tỷ ",Sổ hồng/ Sổ đỏ,3, 35 m,Cần bán,Nhà trong hẻm,Phường 14,"3,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,4,6m,8578746,18m, 16 tỷ ,Sổ hồng/ Sổ đỏ,4, 110 m,Cần bán,Nhà trong hẻm,Phường 11,6m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 3,3,3m,9029946,"13,3m"," 7,3 tỷ ",Sổ hồng/ Sổ đỏ,3, 56 m,Cần bán,Nhà trong hẻm,Phường 6,"4,2m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 3,3,3m,8677928,11m," 5,2 tỷ ",Sổ hồng/ Sổ đỏ,4, 44 m,Cần bán,Nhà trong hẻm,Phường 7,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 3,3,3m,8707577,5m," 4,4 tỷ ",Sổ hồng/ Sổ đỏ,4, 33 m,Cần bán,Nhà trong hẻm,Phường 10,"6,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Thành phố Thủ Đức,2,5m,9284320,15m," 5,1 tỷ ",Sổ hồng/ Sổ đỏ,4, 60 m,Cần bán,Nhà trong hẻm,Phường Hiệp Bình Phước,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,3,10m,8200752,---," 2,9 tỷ ",Sổ hồng/ Sổ đỏ,2, 14 m,Cần bán,Nhà mặt tiền,Phường 15,---
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,3,"3,5m",9200753,"10,2m"," 5,5 tỷ ",Sổ hồng/ Sổ đỏ,3, 38 m,Cần bán,Nhà trong hẻm,Phường 12,"3,7m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,4,3m,9235835,5m," 2,9 tỷ ",Sổ hồng/ Sổ đỏ,3, 15 m,Cần bán,Nhà trong hẻm,Phường 12,3m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,2,3m,7434492,---," 1,85 tỷ ",Sổ hồng/ Sổ đỏ,2, 18 m,Cần bán,Nhà trong hẻm,Phường 15,---
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 4,1,3m,7387284,---," 1,45 tỷ ",Sổ hồng/ Sổ đỏ,2, 22 m,Cần bán,Nhà trong hẻm,Phường 8,---
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Tân Bình,2,5m,7172583,18m," 8,6 tỷ ",Sổ hồng/ Sổ đỏ,3, 90 m,Cần bán,Nhà trong hẻm,Phường 10,5m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,3,5m,7148830,---," 4,7 tỷ ",Sổ hồng/ Sổ đỏ,2, 28 m,Cần bán,Nhà trong hẻm,Phường 12,5m
Hồ Chí Minh,Ngày đăng: 31/10/2021,Tây,Quận 8,1,3m,6878047,"4,13m"," 2,05 tỷ ",Sổ hồng/ Sổ đỏ,2, 32 m,Cần bán,Nhà trong hẻm,Phường 1,"3,91m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Bắc,Quận Bình Thạnh,2,3m,9241106,5m," 2,4 tỷ ",---,2, 20 m,Cần bán,Nhà trong hẻm,Phường 21,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,3,3m,9021438,"14,8m"," 7,3 tỷ ",Sổ hồng/ Sổ đỏ,4, 62 m,Cần bán,Nhà trong hẻm,Phường 15,"4,2m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Bắc,Quận 10,1,"2,5m",7078993,"10,41m"," 3,89 tỷ ",Sổ hồng/ Sổ đỏ,2, 66 m,Cần bán,Nhà trong hẻm,Phường 9,"3,66m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông Bắc,Quận Bình Thạnh,1,3m,6994903,"4,47m", 3 tỷ ,Sổ hồng/ Sổ đỏ,3, 33 m,Cần bán,Nhà trong hẻm,Phường 6,"5,43m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Nam,Quận 1,2,"2,4m",7023647,"6,1m"," 3,7 tỷ ",Sổ hồng/ Sổ đỏ,2, 36 m,Cần bán,Nhà trong hẻm,Phường Nguyễn Cư Trinh,"3,05m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,3,3m,7293623,---," 2,7 tỷ ",Sổ hồng/ Sổ đỏ,3, 18 m,Cần bán,Nhà trong hẻm,Phường 4,---
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông,Quận 10,3,3m,7051968,"8,1m"," 5,5 tỷ ",Sổ hồng/ Sổ đỏ,3, 74 m,Cần bán,Nhà trong hẻm,Phường 8,"2,94m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông Nam,Quận 11,2,4m,7062196,"15,6m"," 6,8 tỷ ",Sổ hồng/ Sổ đỏ,3, 125 m,Cần bán,Nhà trong hẻm,Phường 14,"4,05m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Tây,Quận Gò Vấp,1,7m,9242093,"12,99m"," 3,95 tỷ ",Sổ hồng/ Sổ đỏ,2, 35 m,Cần bán,Nhà trong hẻm,Phường 9,3m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 1,4,"3,5m",9200679,"11,8m"," 7,8 tỷ ",Sổ hồng/ Sổ đỏ,4, 47 m,Cần bán,Nhà trong hẻm,Phường Cầu Ông Lãnh,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,5,5m,8643814,12m," 9,6 tỷ ",Sổ hồng/ Sổ đỏ,4, 60 m,Cần bán,Nhà trong hẻm,Phường 11,5m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Bình Thạnh,2,3m,8329561,15m," 4,95 tỷ ",Sổ hồng/ Sổ đỏ,2, 51 m,Cần bán,Nhà trong hẻm,Phường 11,"3,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Bình Thạnh,3,4m,8748155,11m," 4,8 tỷ ",Sổ hồng/ Sổ đỏ,4, 38 m,Cần bán,Nhà trong hẻm,Phường 11,"3,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông,Quận Bình Thạnh,1,"2,5m",6994929,"8,1m"," 2,85 tỷ ",Sổ hồng/ Sổ đỏ,2, 41 m,Cần bán,Nhà trong hẻm,Phường 26,"2,79m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Tây Bắc,Quận Phú Nhuận,1,"2,3m",8152112,"13,6m"," 5,6 tỷ ",Sổ hồng/ Sổ đỏ,2, 79 m,Cần bán,Nhà trong hẻm,Phường 13,"3,6m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,4,"3,5m",6467005,15m," 7,5 tỷ ",---,4, 60 m,Cần bán,Nhà trong hẻm,Phường 15,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,4,4m,6109602,11m," 5,95 tỷ ",Sổ hồng/ Sổ đỏ,3, 35 m,Cần bán,Nhà trong hẻm,Phường 5,"3,1m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Gò Vấp,2,3m,7207165,12m," 4,2 tỷ ",Sổ hồng/ Sổ đỏ,3, 45 m,Cần bán,Nhà trong hẻm,Phường 1,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 3,2,5m,6950300,7m," 3,4 tỷ ",Sổ hồng/ Sổ đỏ,2, 25 m,Cần bán,Nhà trong hẻm,Phường 14,"3,6m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Gò Vấp,3,4m,7207149,15m," 5,1 tỷ ",Sổ hồng/ Sổ đỏ,4, 62 m,Cần bán,Nhà trong hẻm,Phường 11,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Gò Vấp,2,3m,6174697,14m," 3,2 tỷ ",Sổ hồng/ Sổ đỏ,2, 48 m,Cần bán,Nhà mặt tiền,Phường 10,"3,6m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Tây,Quận Bình Tân,3,"6,7m",7392450,"16,97m"," 6,4 tỷ ",Sổ hồng/ Sổ đỏ,4, 170 m,Cần bán,Nhà trong hẻm,Phường Tân Tạo,"3,91m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,Đông Bắc,Quận Gò Vấp,1,3m,8152000,"11,2m"," 3,32 tỷ ",Sổ hồng/ Sổ đỏ,2, 71 m,Cần bán,Nhà trong hẻm,Phường 14,3m
Hồ Chí Minh,Ngày đăng: 31/10/2021,Bắc,Quận Gò Vấp,3,4m,7141208,"14,5m"," 6,05 tỷ ",Sổ hồng/ Sổ đỏ,4, 195 m,Cần bán,Nhà trong hẻm,Phường 12,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Tân Bình,2,5m,7509908,16m," 8,2 tỷ ",Sổ hồng/ Sổ đỏ,2, 70 m,Cần bán,Nhà trong hẻm,Phường 4,"3,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Phú Nhuận,4,3m,5794992,10m," 6,8 tỷ ",---,4, 45 m,Cần bán,Nhà trong hẻm,Phường 4,"4,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 3,4,3m,6467010,9m," 5,1 tỷ ",Sổ hồng/ Sổ đỏ,4, 28 m,Cần bán,Nhà trong hẻm,Phường 5,"3,5m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Phú Nhuận,5,6m,5753981,---," 8,6 tỷ ",---,4, 60 m,Cần bán,Nhà trong hẻm,Phường 4,---
Hồ Chí Minh,Ngày đăng: 31/10/2021,Tây Nam,Quận 5,1,3m,6656281,"10,3m"," 5,4 tỷ ",Sổ hồng/ Sổ đỏ,2, 55 m,Cần bán,Nhà trong hẻm,Phường 2,3m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Huyện Củ Chi,1,8m,9048308,---, 19 tỷ ,Sổ hồng/ Sổ đỏ,5, 40.000 m,Cần bán,"Biệt thự, nhà liền kề",Xã Nhuận Đức,---
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,2,5m,7243191,12m," 6,2 tỷ ",---,3, 45 m,Cần bán,Nhà trong hẻm,Phường 13,"3,8m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 10,2,6m,6198183,12m," 3,9 tỷ ",Sổ hồng/ Sổ đỏ,2, 24 m,Cần bán,Nhà trong hẻm,Phường 13,3m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Gò Vấp,4,6m,5849841,15m," 6,5 tỷ ",Sổ hồng/ Sổ đỏ,4, 75 m,Cần bán,Nhà trong hẻm,Phường 5,5m
Hồ Chí Minh,Ngày đăng: 31/10/2021,Tây Bắc,Quận 8,1,8m,6605889,"4,8m"," 3,5 tỷ ",Sổ hồng/ Sổ đỏ,2, 45 m,Cần bán,Nhà trong hẻm,Phường 1,"5,3m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận 7,---,8m,9284906,"21,5m"," 8,6 tỷ ",Sổ hồng/ Sổ đỏ,---, 107 m,Cần bán,"Đất nền, liền kề, đất dự án",Phường Phú Mỹ,5m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Gò Vấp,4,3m,7755863,11m," 4,75 tỷ ",---,4, 50 m,Cần bán,Nhà trong hẻm,Phường 10,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Gò Vấp,4,5m,6205674,16m," 5,85 tỷ ",Sổ hồng/ Sổ đỏ,4, 68 m,Cần bán,Nhà trong hẻm,Phường 14,"4,2m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Gò Vấp,3,3m,6128850,8m," 3,2 tỷ ",Sổ hồng/ Sổ đỏ,3, 35 m,Cần bán,Nhà trong hẻm,Phường 14,"4,6m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Phú Nhuận,3,6m,9275247,20m," 16,5 tỷ ",---,6, 95 m,Cần bán,Nhà mặt tiền,Phường 9,5m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Gò Vấp,5,8m,9149495,15m," 8,7 tỷ ",Sổ hồng/ Sổ đỏ,4, 58 m,Cần bán,Nhà trong hẻm,Phường 4,4m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Bình Thạnh,4,6m,9147855,18m," 11,5 tỷ ",---,4, 88 m,Cần bán,Nhà trong hẻm,Phường 11,"4,8m"
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Bình Thạnh,5,10m,9110960,---, 9 tỷ ,Sổ hồng/ Sổ đỏ,4, 90 m,Cần bán,Nhà trong hẻm,Phường 13,---
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Gò Vấp,4,6m,6174702,20m," 7,55 tỷ ",Sổ hồng/ Sổ đỏ,6, 100 m,Cần bán,Nhà trong hẻm,Phường 15,5m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Gò Vấp,3,6m,9140487,12m," 5,8 tỷ ",Sổ hồng/ Sổ đỏ,3, 59 m,Cần bán,Nhà trong hẻm,Phường 5,5m
Hồ Chí Minh,Ngày đăng: 31/10/2021,_,Quận Bình Thạnh,5,6m,9125291,"16,5m"," 11,5 tỷ ",Sổ hồng/ Sổ đỏ,9, 64 m,Cần bán,Nhà trong hẻm,Phường 26,4m
