city,date,direction,district,floors,front_road,id,length,price,property_legal_document,rooms,size,type_adv,type_real_estate,ward,width
Hồ Chí Minh,Ngày đăng: Hôm nay,Bắc,Quận Bình Tân,3,6m,8043693,14m," 5,9 tỷ ",Sổ hồng/ Sổ đỏ,4, 52 m,Cần bán,Nhà trong hẻm,Phường An Lạc,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Gò Vấp,4,"3,5m",9317528,8m," 4,85 tỷ ",Sổ hồng/ Sổ đỏ,4, 40 m,Cần bán,Nhà trong hẻm,Phường 15,5m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Huyện Nhà Bè,2,3m,9317531,15m," 1,6 tỷ ",Sổ hồng/ Sổ đỏ,2, 45 m,Cần bán,Nhà trong hẻm,Xã Nhơn Đức,3m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Huyện Bình Chánh,1,15m,8460529,14m," 1,35 tỷ ",Sổ hồng/ Sổ đỏ,2, 70 m,Cần bán,Nhà mặt tiền,Xã Phước Lý,5m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 1,6,25m,9317540,10m, 32 tỷ ,---,6, 46 m,Cần bán,Nhà mặt tiền,Phường Nguyễn Thái Bình,"4,55m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 7,---,8m,9317543,"18,2m"," 2,9 tỷ ",Sổ hồng/ Sổ đỏ,---, 82 m,Cần bán,"Đất thổ cư, đất ở",Phường Phú Thuận,"4,5m"
Hồ Chí Minh,Ngày đăng: Hôm nay,Đông,Quận 7,3,15m,9319302,---, 11 tỷ ,Sổ hồng/ Sổ đỏ,6, 80 m,Cần bán,Nhà mặt tiền,Phường Phú Mỹ,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 1,8,12m,8132201,20m, 37 tỷ ,Sổ hồng/ Sổ đỏ,19, 82 m,Cần bán,Nhà mặt tiền,Phường Tân Định,"4,5m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Tân,3,7m,9166177,---," 3,05 tỷ ",Sổ hồng/ Sổ đỏ,4, 55 m,Cần bán,Nhà mặt tiền,Phường Bình Hưng Hòa B,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 3,3,12m,9298620,25m, 45 tỷ ,Sổ hồng/ Sổ đỏ,4, 101 m,Cần bán,Nhà mặt tiền,Phường 6,"4,1m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 6,3,12m,8260325,20m," 3,1 tỷ ",Sổ hồng/ Sổ đỏ,4, 75 m,Cần bán,Nhà mặt tiền,Phường 10,8m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 1,2,20m,9319593,20m, 72 tỷ ,Sổ hồng/ Sổ đỏ,---, 128 m,Cần bán,Nhà mặt tiền,Phường Phạm Ngũ Lão,"6,5m"
Hồ Chí Minh,Ngày đăng: Hôm nay,Đông Bắc,Quận 9,1,5m,9316200,22m," 4,9 tỷ ",Sổ hồng/ Sổ đỏ,2, 112 m,Cần bán,Nhà trong hẻm,Phường Tăng Nhơn Phú A,5m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 1,10,30m,9319325,20m, 139 tỷ ,---,10, 180 m,Cần bán,Nhà mặt tiền,Phường Cô Giang,9m
Hồ Chí Minh,Ngày đăng: Hôm nay,Đông Nam,Quận 9,2,6m,9281850,"14,5m"," 5,1 tỷ ",---,4, 57 m,Cần bán,Nhà trong hẻm,Phường Tân Phú,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,Đông Bắc,Quận 9,2,5m,9271519,14m," 4,7 tỷ ",Sổ hồng/ Sổ đỏ,4, 57 m,Cần bán,Nhà trong hẻm,Phường Trường Thạnh,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,Tây Bắc,Thành phố Thủ Đức,3,10m,9187764,40m, 38 tỷ ,---,36, 320 m,Cần bán,Nhà mặt tiền,Phường Trường Thọ,8m
Hồ Chí Minh,Ngày đăng: Hôm nay,Đông Nam,Quận 12,3,7m,9233392,20m," 4,3 tỷ ",---,3, 80 m,Cần bán,Nhà trong hẻm,Phường Thạnh Lộc,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 3,6,35m,9316494,14m, 23 tỷ ,Sổ hồng/ Sổ đỏ,10, 45 m,Cần bán,Nhà mặt tiền,Phường 9,"3,6m"
Hồ Chí Minh,Ngày đăng: Hôm nay,Nam,Quận 9,2,5m,9281085,13m," 4,5 tỷ ",Sổ hồng/ Sổ đỏ,4, 52 m,Cần bán,Nhà trong hẻm,Phường Long Trường,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Tân Bình,2,5m,7670339,21m," 11,3 tỷ ",Sổ hồng/ Sổ đỏ,3, 102 m,Cần bán,Nhà trong hẻm,Phường 11,"5,1m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 1,3,35m,9308422,17m, 32 tỷ ,Sổ hồng/ Sổ đỏ,6, 80 m,Cần bán,Nhà mặt tiền,Phường Nguyễn Cư Trinh,"4,5m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 5,1,6m,8285678,15m, 17 tỷ ,Sổ hồng/ Sổ đỏ,1, 140 m,Cần bán,Nhà trong hẻm,Phường 4,9m
Hồ Chí Minh,Ngày đăng: Hôm nay,Đông Bắc,Quận Tân Bình,2,5m,7670300,21m, 14 tỷ ,Sổ hồng/ Sổ đỏ,3, 125 m,Cần bán,Nhà trong hẻm,Phường 11,6m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Tân Bình,4,8m,9307484,18m," 12,95 tỷ ",Sổ hồng/ Sổ đỏ,5, 88 m,Cần bán,Nhà trong hẻm,Phường 14,5m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,5,6m,9303649,8m, 5 tỷ ,Sổ hồng/ Sổ đỏ,5, 36 m,Cần bán,Nhà trong hẻm,Phường 17,"4,5m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 1,6,25m,9319530,"14,5m", 33 tỷ ,Sổ hồng/ Sổ đỏ,---, 56 m,Cần bán,Nhà mặt tiền,Phường Bến Thành,"3,85m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,5,5m,9284591,10m," 6,6 tỷ ",Sổ hồng/ Sổ đỏ,4, 41 m,Cần bán,Nhà trong hẻm,Phường 11,"4,1m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,2,5m,9279271,8m," 5,7 tỷ ",Sổ hồng/ Sổ đỏ,4, 61 m,Cần bán,Nhà trong hẻm,Phường 11,7m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,5,5m,9279544,9m," 5,6 tỷ ",Sổ hồng/ Sổ đỏ,4, 36 m,Cần bán,Nhà trong hẻm,Phường 5,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,Đông Nam,Quận 9,3,7m,9316290,19m," 6,3 tỷ ",Sổ hồng/ Sổ đỏ,4, 79 m,Cần bán,Nhà mặt tiền,Phường Long Thạnh Mỹ,"4,2m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 7,22,32m,8865822,14m, 7 tỷ ,Giấy tờ hợp lệ,2, 140 m,Cần bán,"Shop, kiot, quán",Phường Phú Mỹ,10m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,2,3m,9255595,6m," 3,5 tỷ ",---,4, 42 m,Cần bán,Nhà trong hẻm,Phường 25,5m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,4,5m,9264490,16m," 7,5 tỷ ",Sổ hồng/ Sổ đỏ,4, 70 m,Cần bán,Nhà trong hẻm,Phường 21,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Tân Phú,2,4m,9316759,---, 6 tỷ ,Sổ hồng/ Sổ đỏ,3, 94 m,Cần bán,Nhà trong hẻm,Phường Tân Sơn Nhì,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,3,5m,9116076,22m," 8,6 tỷ ",Sổ hồng/ Sổ đỏ,6, 93 m,Cần bán,Nhà trong hẻm,Phường 25,"4,3m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,3,5m,9116090,9m," 7,5 tỷ ",Sổ hồng/ Sổ đỏ,3, 69 m,Cần bán,Nhà trong hẻm,Phường 21,4-9m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,2,3m,9147060,"7,3m"," 3,75 tỷ ",Sổ hồng/ Sổ đỏ,2, 31 m,Cần bán,Nhà trong hẻm,Phường 26,"4,2m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,2,5m,9004800,16m," 5,9 tỷ ",Sổ hồng/ Sổ đỏ,4, 71 m,Cần bán,Nhà trong hẻm,Phường 21,"4,2m"
Hồ Chí Minh,Ngày đăng: 09/10/2021,_,Quận Tân Phú,3,15m,9131366,"17,5m"," 13,7 tỷ ",Sổ hồng/ Sổ đỏ,5, 70 m,Cần bán,Nhà mặt tiền,Phường Tân Sơn Nhì,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 3,3,35m,9308789,15m, 35 tỷ ,Sổ hồng/ Sổ đỏ,6, 90 m,Cần bán,Nhà mặt tiền,Phường 5,6m
Hồ Chí Minh,Ngày đăng: 13/10/2021,_,Quận Bình Tân,4,5m,9159567,14m," 6,2 tỷ ",Sổ hồng/ Sổ đỏ,5, 205 m,Cần bán,Nhà trong hẻm,Phường Bình Trị Đông,"4,5m"
Hồ Chí Minh,Ngày đăng: 18/10/2021,Đông Bắc,Quận 9,---,6m,9192135,24m, 47 triệu / m,Sổ hồng/ Sổ đỏ,---, 130 m,Cần bán,"Đất thổ cư, đất ở", Phường Phước Long B,5m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,2,4m,9256649,8m," 3,15 tỷ ",Sổ hồng/ Sổ đỏ,2, 28 m,Cần bán,Nhà trong hẻm,Phường 17,"3,5m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Tân Phú,2,"2,5m",9033660,13m," 4,4 tỷ ",Giấy tờ hợp lệ,3, 78 m,Cần bán,Nhà trong hẻm,Phường Tân Quý,6m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Gò Vấp,5,4m,7401735,15m," 6,75 tỷ ",Sổ hồng/ Sổ đỏ,5, 60 m,Cần bán,Nhà trong hẻm,Phường 10,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Tân Phú,2,3m,9061026,"13,5m"," 4,2 tỷ ",Giấy tờ hợp lệ,3, 54 m,Cần bán,Nhà trong hẻm,Phường Tân Quý,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Tân Phú,3,4m,9081879,15m," 5,3 tỷ ",Giấy tờ hợp lệ,4, 60 m,Cần bán,Nhà trong hẻm,Phường Tân Quý,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 10,4,35m,9310090,12m," 18,5 tỷ ",Sổ hồng/ Sổ đỏ,6, 45 m,Cần bán,Nhà mặt tiền,Phường 10,"3,5m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 3,4,12m,9256324,"10,5m"," 22,8 tỷ ",Giấy tờ hợp lệ,4, 63 m,Cần bán,Nhà mặt tiền,Phường 4,6m
